Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
40;0.01;0.01;6;15;1600;3;14;0;1583;0
40;0.01;0.02;6;15;1600;2;12;0;1586;0
40;0.01;0.03;6;15;1600;5;10;0;1585;0
40;0.01;0.04;6;15;1600;5;9;0;1586;0
40;0.01;0.05;6;15;1600;5;2;0;1593;0
40;0.01;0.06;6;15;1600;5;2;0;1593;0
40;0.01;0.07;6;15;1600;5;2;0;1593;0
40;0.01;0.08;6;15;1600;5;2;0;1593;0
40;0.01;0.09;6;15;1600;1;1;0;1598;0
40;0.01;0.1;6;15;1600;1;1;0;1598;0
40;0.01;0.11;6;15;1600;1;1;0;1598;0
40;0.01;0.12;6;15;1600;1;1;0;1598;0
40;0.01;0.13;6;15;1600;2;0;0;1598;0
40;0.01;0.14;6;15;1600;2;0;0;1598;0
40;0.01;0.15;6;15;1600;2;0;0;1598;0
40;0.01;0.16;6;15;1600;2;0;0;1598;0
40;0.01;0.17;6;15;1600;2;0;0;1598;0
40;0.01;0.18;6;15;1600;2;0;0;1598;0
40;0.01;0.19;6;15;1600;2;0;0;1598;0
40;0.01;0.2;6;15;1600;2;0;0;1598;0
40;0.01;0.21;6;15;1600;2;0;0;1598;0
40;0.01;0.22;6;15;1600;2;0;0;1598;0
40;0.01;0.23;6;15;1600;2;0;0;1598;0
40;0.01;0.24;6;15;1600;2;0;0;1598;0
40;0.01;0.25;6;15;1600;2;0;0;1598;0
40;0.01;0.26;6;15;1600;2;0;0;1598;0
40;0.01;0.27;6;15;1600;2;0;0;1598;0
40;0.01;0.28;6;15;1600;2;0;0;1598;0
40;0.01;0.29;6;15;1600;2;0;0;1598;0
40;0.01;0.3;6;15;1600;2;0;0;1598;0
40;0.01;0.31;6;15;1600;2;0;0;1598;0
40;0.01;0.32;6;15;1600;2;0;0;1598;0
40;0.01;0.33;6;15;1600;2;0;0;1598;0
40;0.01;0.34;6;15;1600;2;0;0;1598;0
40;0.01;0.35;6;15;1600;2;0;0;1598;0
40;0.01;0.36;6;15;1600;2;0;0;1598;0
40;0.01;0.37;6;15;1600;2;0;0;1598;0
40;0.01;0.38;6;15;1600;2;0;0;1598;0
40;0.01;0.39;6;15;1600;2;0;0;1598;0
40;0.01;0.4;6;15;1600;2;0;0;1598;0
40;0.01;0.41;6;15;1600;2;0;0;1598;0
40;0.01;0.42;6;15;1600;2;0;0;1598;0
40;0.01;0.43;6;15;1600;2;0;0;1598;0
40;0.01;0.44;6;15;1600;2;0;0;1598;0
40;0.01;0.45;6;15;1600;2;0;0;1598;0
40;0.01;0.46;6;15;1600;2;0;0;1598;0
40;0.01;0.47;6;15;1600;2;0;0;1598;0
40;0.01;0.48;6;15;1600;1;0;0;1599;0
40;0.01;0.49;6;15;1600;1;0;0;1599;0
40;0.02;0.01;6;15;1600;1;2;0;1597;0
40;0.02;0.02;6;15;1600;1;2;0;1597;0
40;0.02;0.03;6;15;1600;2;1;0;1597;0
40;0.02;0.04;6;15;1600;2;1;0;1597;0
40;0.02;0.05;6;15;1600;2;1;0;1597;0
40;0.02;0.06;6;15;1600;2;1;0;1597;0
40;0.02;0.07;6;15;1600;2;1;0;1597;0
40;0.02;0.08;6;15;1600;2;1;0;1597;0
40;0.02;0.09;6;15;1600;2;1;0;1597;0
40;0.02;0.1;6;15;1600;2;1;0;1597;0
40;0.02;0.11;6;15;1600;7;2;0;1591;0
40;0.02;0.12;6;15;1600;6;3;0;1591;0
40;0.02;0.13;6;15;1600;6;3;0;1591;0
40;0.02;0.14;6;15;1600;6;3;0;1591;0
40;0.02;0.15;6;15;1600;6;3;0;1591;0
40;0.02;0.16;6;15;1600;6;3;0;1591;0
40;0.02;0.17;6;15;1600;6;3;0;1591;0
40;0.02;0.18;6;15;1600;6;3;0;1591;0
40;0.02;0.19;6;15;1600;3;0;0;1597;0
40;0.02;0.2;6;15;1600;3;0;0;1597;0
40;0.02;0.21;6;15;1600;3;0;0;1597;0
40;0.02;0.22;6;15;1600;3;0;0;1597;0
40;0.02;0.23;6;15;1600;3;0;0;1597;0
40;0.02;0.24;6;15;1600;3;0;0;1597;0
40;0.02;0.25;6;15;1600;3;0;0;1597;0
40;0.02;0.26;6;15;1600;3;0;0;1597;0
40;0.02;0.27;6;15;1600;3;0;0;1597;0
40;0.02;0.28;6;15;1600;3;0;0;1597;0
40;0.02;0.29;6;15;1600;3;0;0;1597;0
40;0.02;0.3;6;15;1600;3;0;0;1597;0
40;0.02;0.31;6;15;1600;3;0;0;1597;0
40;0.02;0.32;6;15;1600;3;0;0;1597;0
40;0.02;0.33;6;15;1600;3;0;0;1597;0
40;0.02;0.34;6;15;1600;3;0;0;1597;0
40;0.02;0.35;6;15;1600;3;0;0;1597;0
40;0.02;0.36;6;15;1600;3;0;0;1597;0
40;0.02;0.37;6;15;1600;3;0;0;1597;0
40;0.02;0.38;6;15;1600;3;0;0;1597;0
40;0.02;0.39;6;15;1600;3;0;0;1597;0
40;0.02;0.4;6;15;1600;3;0;0;1597;0
40;0.02;0.41;6;15;1600;3;0;0;1597;0
40;0.02;0.42;6;15;1600;3;0;0;1597;0
40;0.02;0.43;6;15;1600;3;0;0;1597;0
40;0.02;0.44;6;15;1600;3;0;0;1597;0
40;0.02;0.45;6;15;1600;3;0;0;1597;0
40;0.02;0.46;6;15;1600;3;0;0;1597;0
40;0.02;0.47;6;15;1600;3;0;0;1597;0
40;0.02;0.48;6;15;1600;1;0;0;1599;0
40;0.02;0.49;6;15;1600;1;0;0;1599;0
40;0.03;0.01;6;15;1600;140;906;0;554;1
40;0.03;0.02;6;15;1600;258;928;0;414;1
40;0.03;0.03;6;15;1600;2;1;0;1597;0
40;0.03;0.04;6;15;1600;2;1;0;1597;0
40;0.03;0.05;6;15;1600;2;1;0;1597;0
40;0.03;0.06;6;15;1600;2;1;0;1597;0
40;0.03;0.07;6;15;1600;2;1;0;1597;0
40;0.03;0.08;6;15;1600;2;1;0;1597;0
40;0.03;0.09;6;15;1600;2;1;0;1597;0
40;0.03;0.1;6;15;1600;2;1;0;1597;0
40;0.03;0.11;6;15;1600;35;6;0;1559;0
40;0.03;0.12;6;15;1600;9;1;0;1590;0
40;0.03;0.13;6;15;1600;10;0;0;1590;0
40;0.03;0.14;6;15;1600;10;0;0;1590;0
40;0.03;0.15;6;15;1600;10;0;0;1590;0
40;0.03;0.16;6;15;1600;10;0;0;1590;0
40;0.03;0.17;6;15;1600;7;1;0;1592;0
40;0.03;0.18;6;15;1600;7;1;0;1592;0
40;0.03;0.19;6;15;1600;7;1;0;1592;0
40;0.03;0.2;6;15;1600;7;1;0;1592;0
40;0.03;0.21;6;15;1600;7;1;0;1592;0
40;0.03;0.22;6;15;1600;7;1;0;1592;0
40;0.03;0.23;6;15;1600;7;1;0;1592;0
40;0.03;0.24;6;15;1600;7;1;0;1592;0
40;0.03;0.25;6;15;1600;7;1;0;1592;0
40;0.03;0.26;6;15;1600;7;1;0;1592;0
40;0.03;0.27;6;15;1600;7;1;0;1592;0
40;0.03;0.28;6;15;1600;7;1;0;1592;0
40;0.03;0.29;6;15;1600;7;1;0;1592;0
40;0.03;0.3;6;15;1600;7;1;0;1592;0
40;0.03;0.31;6;15;1600;6;1;0;1593;0
40;0.03;0.32;6;15;1600;6;1;0;1593;0
