Index;Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
0;40;0.02;0.0;6;15;1600;0;3;0;1597;0
1;40;0.02;0.0;6;21;1600;0;1143;0;457;1
2;40;0.02;0.0;6;27;1600;0;1308;0;292;1
3;40;0.02;0.0;6;33;1600;0;1466;0;134;1
4;40;0.02;0.0;6;39;1600;0;1554;0;46;1
5;40;0.02;0.0;6;45;1600;0;1565;0;35;1
6;40;0.02;0.0;6;51;1600;0;1590;0;10;1
7;40;0.02;0.0;6;57;1600;0;1583;0;17;1
8;40;0.02;0.0;6;63;1600;0;1589;0;11;1
9;40;0.02;0.0;6;69;1600;0;1594;0;6;1
0;40;0.0201;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0201;0.0;6;21;1600;0;1095;0;505;1
2;40;0.0201;0.0;6;27;1600;0;1418;0;182;1
3;40;0.0201;0.0;6;33;1600;0;1502;0;98;1
4;40;0.0201;0.0;6;39;1600;0;1559;0;41;1
5;40;0.0201;0.0;6;45;1600;0;1577;0;23;1
6;40;0.0201;0.0;6;51;1600;0;1579;0;21;1
7;40;0.0201;0.0;6;57;1600;0;1580;0;20;1
8;40;0.0201;0.0;6;63;1600;0;1591;0;9;1
9;40;0.0201;0.0;6;69;1600;0;1591;0;9;1
0;40;0.0202;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0202;0.0;6;21;1600;0;1047;0;553;1
2;40;0.0202;0.0;6;27;1600;0;1434;0;166;1
3;40;0.0202;0.0;6;33;1600;0;1512;0;88;1
4;40;0.0202;0.0;6;39;1600;0;1551;0;49;1
5;40;0.0202;0.0;6;45;1600;0;1562;0;38;1
6;40;0.0202;0.0;6;51;1600;0;1586;0;14;1
7;40;0.0202;0.0;6;57;1600;0;1589;0;11;1
8;40;0.0202;0.0;6;63;1600;0;1599;0;1;1
9;40;0.0202;0.0;6;69;1600;0;1599;0;1;1
0;40;0.0203;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0203;0.0;6;21;1600;0;1212;0;388;1
2;40;0.0203;0.0;6;27;1600;0;1337;0;263;1
3;40;0.0203;0.0;6;33;1600;0;1513;0;87;1
4;40;0.0203;0.0;6;39;1600;0;1545;0;55;1
5;40;0.0203;0.0;6;45;1600;0;1566;0;34;1
6;40;0.0203;0.0;6;51;1600;0;1593;0;7;1
7;40;0.0203;0.0;6;57;1600;0;1595;0;5;1
8;40;0.0203;0.0;6;63;1600;0;1594;0;6;1
9;40;0.0203;0.0;6;69;1600;0;1596;0;4;1
